baselga,"[130, 0, 0]"
traida,"[2, 0, 1]"
baronesa,"[47, 0, 0]"
dicho,"[17, 10, 3]"
devota,"[2, 0, 0]"
temerosa,"[2, 0, 0]"
perteneciente,"[3, 0, 0]"
familias,"[6, 0, 5]"
tenido,"[11, 11, 4]"
relacion,"[8, 0, 0]"
dichas,"[5, 0, 0]"
causaron,"[2, 0, 0]"
incorporandose,"[2, 0, 1]"
jesuitaza,"[1, 0, 0]"
cuanto,"[62, 61, 12]"
podido,"[3, 12, 2]"
tener,"[26, 13, 9]"
ignore,"[1, 1, 0]"
finja,"[1, 0, 0]"
ligan,"[1, 0, 1]"
